ID	BetweennessCentrality	ClosenessCentrality	Community CC	Global CC (per component)	Degree
045fa8791791a5293793f6347c74aa1a	0.02194189	0.37048346	0.957424714	0.30470958	196
046b8445667db8ae97009d1af36337f2	0.00157784	0.36170918	0.637204522	0.61195929	132
047c9fc92865a5b726f1fa99244d8459	0	0.29108357	0.867647059	1	10
04b25e00c0d5fcbeccdfd4e9c1623b27	3.30E-04	0.31406385	0.609277857	0.5866822	102
04ec16719fb7afae3a29cf87da71589e	0	0.27572276	0.620728291	1	25
052b0d48ee2990f260d4fae84028fce3	0	0.33201581	0.995515695	1	125
052ef942bf73a590cd444070060375d6	1.67E-04	0.3022419	0.982020202	0.63951266	92
053c744454d0d115cc35f190ec39bf8e	0	0.34578847	0.919965577	1	51
054357269753be14e5672eca09d3d757	6.90E-04	0.34242709	0.736842105	0.60274299	130
0548d32633161d33eb6f7f8b3a5eed26	0	0.34291098	0.987654321	1	57
054b5e555dbc9896738e2aac1865fe6f	2.45E-04	0.32519357	0.738891543	0.60862534	106
059fe3833572a9f059bb425d0c44ec0e	0	0.32704403	0.985074627	1	50
05d56fa4e9c56312707b46c4277e213f	0.00146871	0.36021771	0.666666667	0.53361649	197
05d766a4b50bc13904047352d361ed22	0	0.33201581	0.995515695	1	125
05eb3587e0de9d17f1458e8accb9437a	0	0.22067293	0.981818182	1	28
05eda63dc21ee15b8ef2579ffa7edee6	0.00417124	0.34578847	0.957424714	0.33983549	185
062245a613466b5799d3933f2f3373d2	0	0.24994278	0.983606557	1	27
06292a2b651be951c4cd3d682ac9c8cf	0	0.27090052	0.928151261	1	63
0645222311569e6d54d9107d36ee4e70	5.02E-04	0.32847045	0.626740377	0.65086093	151
065de0cb3e7975b66d205edc1fad5d1e	0	0.32802643	0.989010989	1	55
067399c1f4b24e6644a952c0f987f2e4	0	0.30682776	0.99378882	1	81
068192da85efb2d1c9e297062eee540a	0	0.28474576	0.965027322	1	37
06917623b305cb5462cafbddb40718f9	0.00790352	0.34146341	0.988505747	0.61103573	67
06b3229e60bbef51e2aa19de3739dd0e	2.37E-04	0.3493841	0.889466484	0.92103424	54
06b4170968298f1d03193a404779fb23	2.30E-04	0.32758362	0.596147552	0.74424698	133
06c4db1ba3aa68a5c2deb49bb904f54c	0.00237777	0.32274272	0.585406302	0.44982007	123
06d064672d567cd04076ff7c1c896ca7	6.11E-04	0.30215827	0.638426429	0.63806909	94
075517a9233a77e57e76f0b9fc754a39	0	0.32802643	0.633490566	1	55
0759f7acd48a7af924c4c9271364d581	0	0.24167312	0.807317073	1	25
07b8a4c4b51bfdc9d0a2087800b52054	0	0.32577566	0.994413408	1	105
07cf4ab17d214d5efda8e20931b2676c	6.16E-04	0.29030972	0.857142857	0.55974843	106
0839be300e7657255e158505af533604	0	0.21342715	0.952380952	1	14
085442df7d64c5ab0e9250f97ec8c5bd	0.00146871	0.36021771	0.666666667	0.53361649	197
